# Altus Metrum flight log
# product TeleMetrum
# serial 2718
# flight 14
# call N0CALL
version,serial,flight,call,time,clock,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,accel_speed,baro_speed,temperature,battery_voltage,drogue_voltage,main_voltage
5,2718,14,N0CALL,-2.00,0,-78,60,1,pad,-0.12,983.089,254.0,0.2,0.04,9.31,16.2,7.42,0.0,0.0
5,2718,14,N0CALL,-1.98,2,-78,60,1,pad,-0.20,983.086,254.0,0.2,0.11,1.08,16.1,7.43,0.0,0.0
5,2718,14,N0CALL,-1.96,4,-78,60,1,pad,-0.10,983.077,254.0,0.3,0.09,3.98,15.9,7.42,0.0,0.0
5,2718,14,N0CALL,-1.94,6,-78,60,1,pad,-0.17,983.148,254.0,-0.3,0.09,-30.34,16.1,7.43,0.0,0.0
5,2718,14,N0CALL,-1.92,8,-78,60,1,pad,-0.02,983.165,254.0,-0.5,0.07,-7.35,15.9,7.42,0.0,0.0
5,2718,14,N0CALL,-1.90,10,-78,60,1,pad,0.25,983.129,254.0,-0.2,0.11,15.42,16.0,7.42,0.0,0.0
5,2718,14,N0CALL,-1.88,12,-78,60,1,pad,-0.20,983.066,254.0,0.4,-0.10,27.09,15.9,7.42,0.0,0.0
5,2718,14,N0CALL,-1.86,14,-78,60,1,pad,0.28,983.110,254.0,0.0,-0.01,-18.91,16.1,7.41,0.0,0.0
5,2718,14,N0CALL,-1.84,16,-78,60,1,pad,0.22,983.120,254.0,-0.1,0.10,-4.11,15.9,7.42,0.0,0.0
5,2718,14,N0CALL,-1.82,18,-78,60,1,pad,0.12,983.062,254.0,0.4,-0.12,24.63,16.0,7.41,0.0,0.0
5,2718,14,N0CALL,-1.80,20,-78,60,1,pad,-0.06,983.084,254.0,0.2,0.06,-9.34,15.9,7.42,0.0,0.0
5,2718,14,N0CALL,-1.78,22,-78,60,1,pad,-0.05,983.125,254.0,-0.1,0.13,-17.43,16.0,7.41,0.0,0.0
5,2718,14,N0CALL,-1.76,24,-78,60,1,pad,-0.22,983.146,254.0,-0.3,0.05,-8.91,15.8,7.42,0.0,0.0
5,2718,14,N0CALL,-1.74,26,-78,60,1,pad,-0.05,983.142,254.0,-0.3,-0.08,1.72,16.1,7.42,0.0,0.0
